"date","timestep","bob_eta","sm_eta"
2024-09-26,37,-0.0153861174574077,-0.0105975096491155
2024-09-26,38,-0.0190073192918305,-0.0162201273197313
2024-09-26,39,0.00795516525050477,0.00871864886204499
2024-09-26,40,0.0384236675806919,0.0376459887047256
2024-09-26,41,0.00316125440246928,0.00276624427250027
2024-09-26,42,-0.0159184617814896,-0.0134237241182653
2024-09-26,43,0.0346767737760194,0.0357468009709523
2024-09-26,44,0.000408005963648428,-5.81784788193929e-05
2024-09-26,45,-0.0213631446927289,-0.020645743605697
2024-09-26,46,0.0164524079637527,0.0171528251372957
2024-09-26,47,0.00776494009569539,0.00854165327932677
2024-09-26,48,0.0341582986501274,0.0316030250468398
2024-09-26,49,-0.00669953540441703,-0.00513118788452616
2024-09-26,50,-0.0084519478649252,-0.00908032474966269
2024-09-26,51,0.0333437265356284,0.0341176011168756
2024-09-26,52,-0.0193467409302892,-0.0205587641707714
2024-09-26,53,0.0151528588194632,0.0131800637933903
2024-09-26,54,0.0476595154760435,0.0437383663952451
2024-09-26,55,0.031102419644184,0.0287188777616363
2024-09-26,56,0.0346305491303394,0.0325437014326759
2024-09-26,57,-0.00121664328543769,-0.00519620308237734
2024-09-26,58,0.01650408859728,0.012694974206835
2024-09-26,59,0.00777383801033693,0.00657544825771694
2024-09-26,60,0.0415295029320761,0.0409774600567268
2024-09-26,61,-0.00642533492034669,-0.00993262419482299
2024-09-26,62,0.0180204369605477,0.0161204563439092
2024-09-26,63,-0.0807887143003327,-0.0806249695208221
2024-09-26,64,-0.0377333333074761,-0.0398527884142945
2024-09-26,65,-0.0281917562926584,-0.0298903432454747
2024-09-26,66,-0.00305258791651752,-0.00509893771498415
2024-09-26,67,0.00417025115884861,0.00106423481717854
2024-09-26,68,-0.0281099882313471,-0.0339611252234766
2024-09-26,69,-0.0413209541100192,-0.0423112686721661
2024-09-26,70,-0.0781818529474139,-0.0792740012088231
2024-09-26,71,-0.0504864497515554,-0.0558010385073047
